"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Italy;106;IT;"Beer of Barley";51;Lux-foods;m3/ton;148.87600708008;131.64100646973;141.85699462891;163.31199645996;135.84399414062;129.97799682617;133.28199768066;135.04699707031;134.92399597168;127.75399780273;125.95400238037;140.57200622559;127.08399963379;131.09100341797;129.09599304199;145.75199890137;158.44500732422;153.48500061035;134.50399780273;134.02900695801;130.54899597168;140.90800476074;129.86599731445;137.27699279785;131.28500366211;148.87600708008;131.64100646973;141.85699462891;163.31199645996;135.84399414062;129.97799682617
Italy;106;IT;Maize;56;Cereals;m3/ton;673.51599121094;687.82897949219;661.51202392578;625.51501464844;657.51098632812;674.99499511719;565.49700927734;558.18902587891;582.70300292969;541.44097900391;516.93499755859;499.27700805664;518.77801513672;492.91000366211;503.38198852539;517.59301757812;505.7380065918;650.23602294922;543.27899169922;513.46899414062;551.71398925781;604.58197021484;530.69396972656;555.42797851562;531.87097167969;523.51000976562;640.28601074219;582.41998291016;492.36700439453;557.74499511719;513.71899414062
Italy;106;IT;"Germ, maize";57;Cereals;m3/ton;0;1281.0200195312;1870.3199462891;0;1396.8699951172;752.42498779297;0;661.83099365234;0;0;1271.5300292969;1591.4599609375;849.41900634766;1170.7700195312;1237.7299804688;1303.2700195312;867.63397216797;747.58099365234;733.88500976562;1048.4100341797;991.26300048828;1057.8100585938;1156.7199707031;1099.4799804688;1038.4599609375;0;1281.0200195312;1870.3199462891;0;1396.8699951172;752.42498779297
Italy;106;IT;"Flour of Maize";58;Cereals;m3/ton;690.61999511719;705.29602050781;678.31097412109;641.39898681641;674.2080078125;692.13598632812;579.85699462891;572.36297607422;597.5;555.19000244141;530.06201171875;511.95599365234;531.95202636719;505.4280090332;516.16497802734;530.73699951172;518.58099365234;666.7490234375;557.07501220703;526.50799560547;565.72399902344;619.93499755859;544.17102050781;569.53302001953;545.37701416016;690.61999511719;705.29602050781;678.31097412109;641.39898681641;674.2080078125;692.13598632812
Italy;106;IT;"Maize oil";60;"Seeds & Oils";m3/ton;1390.6300048828;1420.1800537109;1365.8399658203;1291.5200195312;1357.5799560547;1393.6800537109;1167.5999755859;1152.5100097656;1203.1199951172;1117.9300537109;1067.3299560547;1030.8699951172;1071.1300048828;1017.7199707031;1039.3399658203;1068.6899414062;1044.2099609375;1342.5600585938;1121.7199707031;1060.1700439453;1139.1400146484;1248.3000488281;1095.7399902344;1146.8100585938;1098.1700439453;1390.6300048828;1420.1800537109;1365.8399658203;1291.5200195312;1357.5799560547;1393.6800537109
Italy;106;IT;Rye;71;Cereals;m3/ton;0;1379.3199462891;0;0;0;0;1147.6700439453;0;0;0;0;0;1411.1099853516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;957.64599609375;0;0
Italy;106;IT;Oats;75;Cereals;m3/ton;1198.75;1265.25;1192.5100097656;1496.6500244141;1353.7800292969;1157.0100097656;1190.5899658203;1071.6500244141;1078.2199707031;1137.3599853516;1075.6600341797;1251.4499511719;1034.8599853516;1119.7900390625;1143.8900146484;1196.6800537109;1188.3800048828;1247.7900390625;1113.6199951172;1056.5699462891;1055.1500244141;1114.8100585938;1061.4399414062;1107.4899902344;1171.0699462891;1131.7099609375;1048.3299560547;1087.2700195312;1060.3699951172;1060.4399414062;1050.2600097656
Italy;106;IT;"Oats Rolled";76;Cereals;m3/ton;1620.0999755859;1709.9699707031;1611.6600341797;2022.7099609375;1829.6199951172;1563.6800537109;1609.0699462891;1448.3199462891;1457.1999511719;1537.1300048828;1453.7399902344;1691.3199462891;1398.6099853516;1513.3800048828;1545.9599609375;1617.3000488281;1606.0799560547;1686.3800048828;1505.0400390625;1427.9399414062;1426.0300292969;1506.6600341797;1434.5300292969;1496.7700195312;1582.6800537109;1620.0999755859;1709.9699707031;1611.6600341797;2022.7099609375;1829.6199951172;1563.6800537109
Italy;106;IT;Millet;79;Cereals;m3/ton;2843.4299316406;2335.1000976562;2320.8701171875;2470.25;2820.3400878906;2733.3999023438;3038.0400390625;3616.919921875;2968.0200195312;3462.330078125;4478.5600585938;2690.2199707031;2759.5600585938;2686.6201171875;2503.4699707031;2822.6298828125;2654.4099121094;1996.7600097656;0;1891.4000244141;1917.0999755859;2662.1799316406;2169.2800292969;2507.25;2000.8699951172;1807.5899658203;2497.1799316406;2097.919921875;1680.8199462891;1542.1800537109;1816.3900146484
Italy;106;IT;Sorghum;83;Cereals;m3/ton;598.41400146484;7120.0600585938;3372.6398925781;5435.1899414062;3813.8701171875;674.53900146484;597.11199951172;3186.2399902344;1209.8699951172;3163.6298828125;1068.8299560547;608.77600097656;0;2290.1599121094;1509.8800048828;580.22698974609;575.76300048828;1177.8499755859;930.78601074219;643.11499023438;688.63000488281;1963.2700195312;1315.2099609375;721.87200927734;0;614.44500732422;1132.7399902344;918.90502929688;816.7509765625;836.09899902344;674.32202148438
